slot,timestamp,action_count,adds,removes,actions,placement_before,placement_after,demand,attachment_points,total_requests,demand_pairs,covered_pairs_after,uncovered_pairs_after,coverage_ratio_after,objective,R_nominal,B_nominal,R_wc,B_wc,Op_cost,solve_time,status
366,365,5,2,3,"ADD:1,9;ADD:7,1;REMOVE:1,4;REMOVE:4,2;REMOVE:7,2",0:-;1:4;2:-;3:-;4:2;5:-;6:-;7:2;8:-;9:-,0:-;1:9;2:-;3:-;4:-;5:-;6:-;7:1;8:-;9:-,1@9=1;7@1=1,"9,1",2,2,2,0,1.0,0.9078045036444446,1.0,0.10780450364444465,0.0,0.0,0.2,0.20747709274291992,Feasible|selected=greedy
367,366,6,4,2,"ADD:1,6;ADD:5,4;ADD:6,0;ADD:7,8;REMOVE:1,9;REMOVE:7,1",0:-;1:9;2:-;3:-;4:-;5:-;6:-;7:1;8:-;9:-,0:-;1:6;2:-;3:-;4:-;5:4;6:0;7:8;8:-;9:-,1@6=1;5@4=1;6@0=1;7@6=1;7@1=1;7@5=4,"6,4,0,1,5",9,6,6,0,1.0,0.633331045481459,1.0,0.03333104548145901,0.0,0.0,0.4,0.2607150077819824,Feasible|selected=greedy
368,367,7,3,4,"ADD:1,9;ADD:4,2;ADD:7,2;REMOVE:1,6;REMOVE:5,4;REMOVE:6,0;REMOVE:7,8",0:-;1:6;2:-;3:-;4:-;5:4;6:0;7:8;8:-;9:-,0:-;1:9;2:-;3:-;4:2;5:-;6:-;7:2;8:-;9:-,1@2=1;1@9=1;4@2=1;7@2=1;7@0=1;7@4=1,"2,9,0,4",6,6,6,0,1.0,0.7577892234312453,1.0,0.05778922343124531,0.0,0.0,0.30000000000000004,0.25823068618774414,Feasible|selected=greedy
369,368,1,0,1,"REMOVE:4,2",0:-;1:9;2:-;3:-;4:2;5:-;6:-;7:2;8:-;9:-,0:-;1:9;2:-;3:-;4:-;5:-;6:-;7:2;8:-;9:-,1@9=2;7@0=1;7@2=1;7@3=1;7@4=1,"9,0,2,3,4",6,5,5,0,1.0,0.3889412619525929,0.3333333333333333,0.05560792861925956,0.0,0.0,0.0,0.23448491096496582,Feasible|selected=greedy
370,369,3,1,2,"ADD:1,8;REMOVE:1,9;REMOVE:7,2",0:-;1:9;2:-;3:-;4:-;5:-;6:-;7:2;8:-;9:-,0:-;1:8;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,1@5=1;1@6=1;1@7=1;1@8=1,"5,6,7,8",4,4,4,0,1.0,0.9213585493245274,1.0,0.02135854932452743,0.0,0.0,0.1,0.22251391410827637,Feasible|selected=greedy
371,370,5,4,1,"ADD:2,3;ADD:3,6;ADD:4,7;ADD:8,2;REMOVE:1,8",0:-;1:8;2:-;3:-;4:-;5:-;6:-;7:-;8:-;9:-,0:-;1:-;2:3;3:6;4:7;5:-;6:-;7:-;8:2;9:-,2@2=1;2@3=1;3@6=1;4@7=1;8@2=1,"2,3,6,7",5,5,5,0,1.0,0.670791650409914,1.0,0.07079165040991396,0.0,0.0,0.4,0.25522708892822266,Feasible|selected=greedy
372,371,7,3,4,"ADD:2,1;ADD:4,1;ADD:7,7;REMOVE:2,3;REMOVE:3,6;REMOVE:4,7;REMOVE:8,2",0:-;1:-;2:3;3:6;4:7;5:-;6:-;7:-;8:2;9:-,0:-;1:-;2:1;3:-;4:1;5:-;6:-;7:7;8:-;9:-,2@1=1;4@1=1;7@3=1;7@8=1,"1,3,8",4,4,4,0,1.0,0.7499049139162257,1.0,0.04990491391622573,0.0,0.0,0.30000000000000004,0.22730588912963867,Feasible|selected=greedy
373,372,8,5,3,"ADD:2,4;ADD:3,8;ADD:4,7;ADD:5,3;ADD:7,2;REMOVE:2,1;REMOVE:4,1;REMOVE:7,7",0:-;1:-;2:1;3:-;4:1;5:-;6:-;7:7;8:-;9:-,0:-;1:-;2:4;3:8;4:7;5:3;6:-;7:2;8:-;9:-,2@4=1;3@2=1;3@8=1;4@4=1;4@0=1;4@1=1;5@3=1;7@2=1,"4,2,8,0,1,3",8,8,8,0,1.0,0.5499988879297499,1.0,0.04999888792975001,0.0,0.0,0.5,0.3005650043487549,Feasible|selected=greedy
374,373,10,5,5,"ADD:1,2;ADD:2,8;ADD:5,9;ADD:6,1;ADD:7,3;REMOVE:2,4;REMOVE:3,8;REMOVE:4,7;REMOVE:5,3;REMOVE:7,2",0:-;1:-;2:4;3:8;4:7;5:3;6:-;7:2;8:-;9:-,0:-;1:2;2:8;3:-;4:-;5:9;6:1;7:3;8:-;9:-,1@2=1;2@5=1;2@7=1;5@1=1;5@9=1;6@1=1;7@1=1;7@3=1,"2,5,7,1,9,3",8,8,8,0,1.0,0.5484941928967306,1.0,0.04849419289673066,0.0,0.0,0.5,0.27895569801330566,Feasible|selected=greedy
375,374,8,3,5,"ADD:3,3;ADD:4,6;ADD:7,4;REMOVE:1,2;REMOVE:2,8;REMOVE:5,9;REMOVE:6,1;REMOVE:7,3",0:-;1:2;2:8;3:-;4:-;5:9;6:1;7:3;8:-;9:-,0:-;1:-;2:-;3:3;4:6;5:-;6:-;7:4;8:-;9:-,3@3=1;4@6=1;7@4=1,"3,6,4",3,3,3,0,1.0,0.7889363367282984,1.0,0.08893633672829851,0.0,0.0,0.30000000000000004,0.22376394271850586,Feasible|selected=greedy
376,375,7,4,3,"ADD:1,7;ADD:4,8;ADD:5,3;ADD:7,8;REMOVE:3,3;REMOVE:4,6;REMOVE:7,4",0:-;1:-;2:-;3:3;4:6;5:-;6:-;7:4;8:-;9:-,0:-;1:7;2:-;3:-;4:8;5:3;6:-;7:8;8:-;9:-,1@0=1;1@8=1;1@9=1;4@8=1;4@2=3;5@3=1;7@8=1;7@2=3;7@1=1;7@5=1,"0,8,9,2,3,1,5",14,10,10,0,1.0,0.6233344463142171,1.0,0.023334446314216998,0.0,0.0,0.4,0.3151969909667969,Feasible|selected=greedy
377,376,7,3,4,"ADD:1,1;ADD:4,7;ADD:7,2;REMOVE:1,7;REMOVE:4,8;REMOVE:5,3;REMOVE:7,8",0:-;1:7;2:-;3:-;4:8;5:3;6:-;7:8;8:-;9:-,0:-;1:1;2:-;3:-;4:7;5:-;6:-;7:2;8:-;9:-,1@1=1;4@0=1;4@4=1;7@2=1,"1,0,4,2",4,4,4,0,1.0,0.7535144160619152,1.0,0.053514416061915246,0.0,0.0,0.30000000000000004,0.21225905418395996,Feasible|selected=greedy
378,377,9,6,3,"ADD:0,9;ADD:1,4;ADD:4,9;ADD:5,1;ADD:6,7;ADD:7,7;REMOVE:1,1;REMOVE:4,7;REMOVE:7,2",0:-;1:1;2:-;3:-;4:7;5:-;6:-;7:2;8:-;9:-,0:9;1:4;2:-;3:-;4:9;5:1;6:7;7:7;8:-;9:-,0@9=1;1@4=1;4@9=1;5@1=1;6@7=1;7@0=1;7@6=1;7@8=1,"9,4,1,7,0,6,8",8,8,8,0,1.0,0.4621968352245026,1.0,0.06219683522450261,0.0,0.0,0.6,0.3123002052307129,Feasible|selected=greedy
379,378,11,5,6,"ADD:1,8;ADD:4,8;ADD:5,7;ADD:6,0;ADD:7,0;REMOVE:0,9;REMOVE:1,4;REMOVE:4,9;REMOVE:5,1;REMOVE:6,7;REMOVE:7,7",0:9;1:4;2:-;3:-;4:9;5:1;6:7;7:7;8:-;9:-,0:-;1:8;2:-;3:-;4:8;5:7;6:0;7:0;8:-;9:-,1@7=1;1@8=1;4@8=1;5@8=1;5@0=1;6@0=1;7@0=1,"7,8,0",7,7,7,0,1.0,0.559792180121256,1.0,0.059792180121256006,0.0,0.0,0.5,0.22529816627502441,Feasible|selected=greedy
380,379,8,3,5,"ADD:1,7;ADD:4,3;ADD:7,8;REMOVE:1,8;REMOVE:4,8;REMOVE:5,7;REMOVE:6,0;REMOVE:7,0",0:-;1:8;2:-;3:-;4:8;5:7;6:0;7:0;8:-;9:-,0:-;1:7;2:-;3:-;4:3;5:-;6:-;7:8;8:-;9:-,1@2=2;1@7=1;4@2=1;4@1=1;4@3=2;7@2=2;7@4=1;7@5=1;7@8=1,"2,7,1,3,4,5,8",12,9,9,0,1.0,0.7361627919608207,1.0,0.03616279196082072,0.0,0.0,0.30000000000000004,0.287611722946167,Feasible|selected=greedy
381,380,5,2,3,"ADD:4,7;ADD:7,9;REMOVE:1,7;REMOVE:4,3;REMOVE:7,8",0:-;1:7;2:-;3:-;4:3;5:-;6:-;7:8;8:-;9:-,0:-;1:-;2:-;3:-;4:7;5:-;6:-;7:9;8:-;9:-,4@3=1;4@6=1;4@8=1;7@9=1,"3,6,8,9",4,4,4,0,1.0,0.8298665219115391,1.0,0.02986652191153908,0.0,0.0,0.2,0.21596503257751465,Feasible|selected=greedy
382,381,6,4,2,"ADD:1,6;ADD:4,2;ADD:5,8;ADD:7,7;REMOVE:4,7;REMOVE:7,9",0:-;1:-;2:-;3:-;4:7;5:-;6:-;7:9;8:-;9:-,0:-;1:6;2:-;3:-;4:2;5:8;6:-;7:7;8:-;9:-,1@6=1;4@2=1;4@4=3;4@5=1;5@8=2;7@2=1;7@4=1;7@7=1,"6,2,4,5,8,7",11,8,8,0,1.0,0.6461922568191035,1.0,0.04619225681910356,0.0,0.0,0.4,0.2963888645172119,Feasible|selected=greedy
383,382,9,5,4,"ADD:1,7;ADD:2,9;ADD:4,8;ADD:5,3;ADD:7,2;REMOVE:1,6;REMOVE:4,2;REMOVE:5,8;REMOVE:7,7",0:-;1:6;2:-;3:-;4:2;5:8;6:-;7:7;8:-;9:-,0:-;1:7;2:9;3:-;4:8;5:3;6:-;7:2;8:-;9:-,1@1=2;1@2=1;1@3=1;1@4=1;1@8=1;2@9=1;4@5=1;4@6=1;5@1=1;5@3=1;7@2=1;7@4=2;7@5=1;7@7=1,"1,2,3,4,8,9,5,6,7",16,14,14,0,1.0,0.5208329278977444,1.0,0.020832927897744297,0.0,0.0,0.5,0.3762350082397461,Feasible|selected=greedy
384,383,9,4,5,"ADD:1,1;ADD:4,2;ADD:6,2;ADD:7,1;REMOVE:1,7;REMOVE:2,9;REMOVE:4,8;REMOVE:5,3;REMOVE:7,2",0:-;1:7;2:9;3:-;4:8;5:3;6:-;7:2;8:-;9:-,0:-;1:1;2:-;3:-;4:2;5:-;6:2;7:1;8:-;9:-,1@1=1;4@2=1;6@2=1;7@1=1,"1,2",4,4,4,0,1.0,0.6926511469848798,1.0,0.09265114698487983,0.0,0.0,0.4,0.20317316055297852,Feasible|selected=greedy
385,384,7,3,4,"ADD:1,8;ADD:4,8;ADD:7,5;REMOVE:1,1;REMOVE:4,2;REMOVE:6,2;REMOVE:7,1",0:-;1:1;2:-;3:-;4:2;5:-;6:2;7:1;8:-;9:-,0:-;1:8;2:-;3:-;4:8;5:-;6:-;7:5;8:-;9:-,1@5=1;1@7=1;4@5=1;4@1=1;4@2=1;4@6=1;7@5=1,"5,7,1,2,6",7,7,7,0,1.0,0.7124070246531642,1.0,0.012407024653164199,0.0,0.0,0.30000000000000004,0.23868584632873535,Feasible|selected=greedy
386,385,7,4,3,"ADD:4,0;ADD:5,8;ADD:6,2;ADD:7,2;REMOVE:1,8;REMOVE:4,8;REMOVE:7,5",0:-;1:8;2:-;3:-;4:8;5:-;6:-;7:5;8:-;9:-,0:-;1:-;2:-;3:-;4:0;5:8;6:2;7:2;8:-;9:-,4@0=1;5@1=1;5@4=1;6@2=1;7@2=1,"0,1,4,2",5,5,5,0,1.0,0.6633409834632836,1.0,0.06334098346328369,0.0,0.0,0.4,0.24537968635559082,Feasible|selected=greedy
387,386,10,6,4,"ADD:1,7;ADD:2,2;ADD:4,7;ADD:5,6;ADD:6,5;ADD:7,7;REMOVE:4,0;REMOVE:5,8;REMOVE:6,2;REMOVE:7,2",0:-;1:-;2:-;3:-;4:0;5:8;6:2;7:2;8:-;9:-,0:-;1:7;2:2;3:-;4:7;5:6;6:5;7:7;8:-;9:-,1@1=1;1@4=1;1@9=1;2@4=1;2@0=1;2@2=1;2@3=1;4@4=1;4@9=2;5@6=1;6@5=1;7@4=1;7@2=1;7@7=1,"1,4,9,0,2,3,6,5,7",15,14,14,0,1.0,0.4264756319219186,1.0,0.026475631921918683,0.0,0.0,0.6,0.35993528366088867,Feasible|selected=greedy
388,387,9,4,5,"ADD:2,8;ADD:3,2;ADD:5,2;ADD:7,2;REMOVE:1,7;REMOVE:2,2;REMOVE:5,6;REMOVE:6,5;REMOVE:7,7",0:-;1:7;2:2;3:-;4:7;5:6;6:5;7:7;8:-;9:-,0:-;1:-;2:8;3:2;4:7;5:2;6:-;7:2;8:-;9:-,2@2=1;2@4=1;2@6=1;2@8=1;3@2=1;4@7=1;5@2=1;7@2=1;7@4=1;7@9=1,"2,4,6,8,7,9",10,10,10,0,1.0,0.4811051697866613,0.8333333333333334,0.0477718364533279,0.0,0.0,0.4,0.30292510986328125,Feasible|selected=greedy
389,388,7,2,5,"ADD:4,8;ADD:5,4;REMOVE:2,8;REMOVE:3,2;REMOVE:4,7;REMOVE:5,2;REMOVE:7,2",0:-;1:-;2:8;3:2;4:7;5:2;6:-;7:2;8:-;9:-,0:-;1:-;2:-;3:-;4:8;5:4;6:-;7:-;8:-;9:-,4@1=2;4@2=1;4@4=2;4@6=1;5@4=1,"1,2,4,6",7,5,5,0,1.0,0.815184529926835,1.0,0.015184529926834979,0.0,0.0,0.2,0.23891401290893555,Feasible|selected=greedy
390,389,3,2,1,"ADD:4,7;ADD:6,7;REMOVE:4,8",0:-;1:-;2:-;3:-;4:8;5:4;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:7;5:4;6:7;7:-;8:-;9:-,4@0=1;4@4=1;4@8=1;5@4=1;6@4=1;6@3=1;6@9=1,"0,4,8,3,9",7,7,7,0,1.0,0.31187731695254145,0.5,0.011877316952541512,0.0,0.0,0.2,0.3363158702850342,Feasible|selected=greedy
391,390,3,2,1,"ADD:5,2;ADD:7,2;REMOVE:5,4",0:-;1:-;2:-;3:-;4:7;5:4;6:7;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:7;5:2;6:7;7:2;8:-;9:-,4@4=3;4@6=1;4@7=1;4@9=1;5@2=2;6@7=1;6@2=1;6@3=1;7@4=1;7@7=1;7@2=1;7@5=1,"4,6,7,9,2,3,5",15,12,12,0,1.0,0.1686192772458746,0.3333333333333333,0.03528594391254129,0.0,0.0,0.2,0.4269680976867676,Feasible|selected=greedy
392,391,5,1,4,"ADD:5,7;REMOVE:4,7;REMOVE:5,2;REMOVE:6,7;REMOVE:7,2",0:-;1:-;2:-;3:-;4:7;5:2;6:7;7:2;8:-;9:-,0:-;1:-;2:-;3:-;4:-;5:7;6:-;7:-;8:-;9:-,5@1=1;5@4=1;5@7=1,"1,4,7",3,3,3,0,1.0,0.9281632067802837,1.0,0.02816320678028371,0.0,0.0,0.1,0.19592666625976562,Feasible|selected=greedy
393,392,4,3,1,"ADD:4,7;ADD:5,2;ADD:7,5;REMOVE:5,7",0:-;1:-;2:-;3:-;4:-;5:7;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:7;5:2;6:-;7:5;8:-;9:-,4@1=1;4@7=1;5@2=1;7@5=1,"1,7,2,5",4,4,4,0,1.0,0.7758022999870287,1.0,0.0758022999870287,0.0,0.0,0.30000000000000004,0.23027896881103516,Feasible|selected=greedy
394,393,7,5,2,"ADD:0,2;ADD:4,8;ADD:6,0;ADD:7,7;ADD:7,8;REMOVE:5,2;REMOVE:7,5",0:-;1:-;2:-;3:-;4:7;5:2;6:-;7:5;8:-;9:-,0:2;1:-;2:-;3:-;4:7|8;5:-;6:0;7:7|8;8:-;9:-,0@2=1;4@2=2;4@1=1;4@5=1;4@7=1;4@8=1;4@9=1;6@0=1;7@1=1;7@5=1;7@0=1;7@4=2;7@6=1,"2,1,5,7,8,9,0,4,6",15,13,13,0,1.0,0.19472296437873815,0.6666666666666666,0.02805629771207154,0.0,0.0,0.5,0.3340420722961426,Feasible|selected=greedy
395,394,8,3,5,"ADD:4,6;ADD:5,5;ADD:6,4;REMOVE:0,2;REMOVE:4,7;REMOVE:4,8;REMOVE:6,0;REMOVE:7,8",0:2;1:-;2:-;3:-;4:7|8;5:-;6:0;7:7|8;8:-;9:-,0:-;1:-;2:-;3:-;4:6;5:5;6:4;7:7;8:-;9:-,4@1=1;4@6=1;5@5=1;6@4=1;7@6=1;7@4=1;7@0=3;7@7=1,"1,6,5,4,0,7",10,8,8,0,1.0,0.5734435112968694,0.8333333333333334,0.040110177963536164,0.0,0.0,0.30000000000000004,0.2528049945831299,Feasible|selected=greedy
396,395,7,4,3,"ADD:4,7;ADD:5,2;ADD:6,3;ADD:8,7;REMOVE:4,6;REMOVE:5,5;REMOVE:6,4",0:-;1:-;2:-;3:-;4:6;5:5;6:4;7:7;8:-;9:-,0:-;1:-;2:-;3:-;4:7;5:2;6:3;7:7;8:7;9:-,4@2=1;4@4=2;4@7=1;5@2=1;6@2=1;6@1=2;6@3=1;7@2=1;7@4=1;7@1=1;7@9=1;8@7=1,"2,4,7,1,3,9",14,12,12,0,1.0,0.3775238080617278,0.75,0.027523808061727866,0.0,0.0,0.4,0.3328719139099121,Feasible|selected=greedy
397,396,7,3,4,"ADD:3,2;ADD:6,7;ADD:7,4;REMOVE:5,2;REMOVE:6,3;REMOVE:7,7;REMOVE:8,7",0:-;1:-;2:-;3:-;4:7;5:2;6:3;7:7;8:7;9:-,0:-;1:-;2:-;3:2;4:7;5:-;6:7;7:4;8:-;9:-,3@2=1;4@6=1;4@7=1;6@0=1;6@4=1;6@9=1;7@4=2,"2,6,7,0,4,9",8,7,7,0,1.0,0.5519894354643722,0.8,0.05198943546437216,0.0,0.0,0.30000000000000004,0.25710606575012207,Feasible|selected=greedy
398,397,7,4,3,"ADD:2,6;ADD:4,8;ADD:5,7;ADD:7,8;REMOVE:3,2;REMOVE:4,7;REMOVE:7,4",0:-;1:-;2:-;3:2;4:7;5:-;6:7;7:4;8:-;9:-,0:-;1:-;2:6;3:-;4:8;5:7;6:7;7:8;8:-;9:-,2@6=1;4@6=1;4@5=1;5@7=1;6@3=1;6@4=1;7@4=1;7@1=1,"6,5,7,3,4,1",8,8,8,0,1.0,0.37603352327921036,0.75,0.026033523279210345,0.0,0.0,0.4,0.3083791732788086,Feasible|selected=greedy
399,398,8,3,5,"ADD:4,2;ADD:6,8;ADD:7,9;REMOVE:2,6;REMOVE:4,8;REMOVE:5,7;REMOVE:6,7;REMOVE:7,8",0:-;1:-;2:6;3:-;4:8;5:7;6:7;7:8;8:-;9:-,0:-;1:-;2:-;3:-;4:2;5:-;6:8;7:9;8:-;9:-,4@0=1;4@2=1;6@1=1;6@5=1;7@2=1;7@1=1,"0,2,1,5",6,6,6,0,1.0,0.7137407325829044,1.0,0.013740732582904532,0.0,0.0,0.30000000000000004,0.23448514938354492,Feasible|selected=greedy
400,399,4,2,2,"ADD:4,7;ADD:5,6;REMOVE:6,8;REMOVE:7,9",0:-;1:-;2:-;3:-;4:2;5:-;6:8;7:9;8:-;9:-,0:-;1:-;2:-;3:-;4:2|7;5:6;6:-;7:-;8:-;9:-,4@0=1;4@1=2;4@2=1;4@5=1;4@7=1;5@6=2,"0,1,2,5,7,6",8,6,6,0,1.0,0.5154740044619017,0.6666666666666666,0.048807337795235106,0.0,0.0,0.2,0.25438380241394043,Feasible|selected=greedy
401,400,7,4,3,"ADD:4,3;ADD:5,8;ADD:6,4;ADD:7,9;REMOVE:4,2;REMOVE:4,7;REMOVE:5,6",0:-;1:-;2:-;3:-;4:2|7;5:6;6:-;7:-;8:-;9:-,0:-;1:-;2:-;3:-;4:3;5:8;6:4;7:9;8:-;9:-,4@3=1;5@4=1;5@5=1;6@4=1;7@1=2;7@2=2,"3,4,5,1,2",8,6,6,0,1.0,0.6286844070051577,1.0,0.02868440700515763,0.0,0.0,0.4,0.272813081741333,Feasible|selected=greedy
402,401,7,4,3,"ADD:5,7;ADD:6,6;ADD:7,7;ADD:8,9;REMOVE:5,8;REMOVE:6,4;REMOVE:7,9",0:-;1:-;2:-;3:-;4:3;5:8;6:4;7:9;8:-;9:-,0:-;1:-;2:-;3:-;4:3;5:7;6:6;7:7;8:9;9:-,4@2=1;4@3=2;4@5=1;4@9=1;5@3=1;5@4=1;6@4=1;6@6=1;7@3=1;7@4=1;7@0=1;7@8=1;8@2=1;8@1=1,"2,3,5,9,4,6,0,8,1",15,14,14,0,1.0,0.3676612717235671,0.75,0.017661271723567164,0.0,0.0,0.4,0.42160582542419434,Feasible|selected=greedy
403,402,10,5,5,"ADD:4,2;ADD:4,9;ADD:5,2;ADD:6,8;ADD:7,2;REMOVE:4,3;REMOVE:5,7;REMOVE:6,6;REMOVE:7,7;REMOVE:8,9",0:-;1:-;2:-;3:-;4:3;5:7;6:6;7:7;8:9;9:-,0:-;1:-;2:-;3:-;4:2|9;5:2;6:8;7:2;8:-;9:-,4@1=1;4@2=2;4@4=1;4@5=2;4@9=2;5@2=2;6@1=1;6@4=1;7@2=1;7@4=1;7@9=1;7@0=2;7@8=1,"1,2,4,5,9,0,8",18,13,13,0,1.0,0.5387982615877716,1.0,0.03879826158777165,0.0,0.0,0.5,0.28866004943847656,Feasible|selected=greedy
404,403,8,4,4,"ADD:2,2;ADD:3,4;ADD:4,4;ADD:7,7;REMOVE:4,2;REMOVE:4,9;REMOVE:5,2;REMOVE:7,2",0:-;1:-;2:-;3:-;4:2|9;5:2;6:8;7:2;8:-;9:-,0:-;1:-;2:2;3:4;4:4;5:-;6:8;7:7;8:-;9:-,2@2=1;3@4=1;4@2=2;4@4=1;6@8=1;7@4=1;7@8=1;7@0=1,"2,4,8,0",9,8,8,0,1.0,0.4425251560605665,0.8,0.04252515606056654,0.0,0.0,0.4,0.25716519355773926,Feasible|selected=greedy
405,404,7,3,4,"ADD:6,2;ADD:7,8;ADD:8,0;REMOVE:2,2;REMOVE:3,4;REMOVE:6,8;REMOVE:7,7",0:-;1:-;2:2;3:4;4:4;5:-;6:8;7:7;8:-;9:-,0:-;1:-;2:-;3:-;4:4;5:-;6:2;7:8;8:0;9:-,4@4=1;6@2=1;7@4=1;7@2=1;7@1=1;7@8=1;8@0=1,"4,2,1,8,0",7,7,7,0,1.0,0.5554601228544762,0.8,0.05546012285447621,0.0,0.0,0.30000000000000004,0.2558598518371582,Feasible|selected=greedy
406,405,9,5,4,"ADD:1,5;ADD:4,7;ADD:5,7;ADD:7,9;ADD:8,1;REMOVE:4,4;REMOVE:6,2;REMOVE:7,8;REMOVE:8,0",0:-;1:-;2:-;3:-;4:4;5:-;6:2;7:8;8:0;9:-,0:-;1:5;2:-;3:-;4:7;5:7;6:-;7:9;8:1;9:-,1@5=1;4@7=1;5@7=1;7@9=1;8@1=1,"5,7,9,1",5,5,5,0,1.0,0.5960948642592383,1.0,0.09609486425923819,0.0,0.0,0.5,0.2646620273590088,Feasible|selected=greedy
407,406,11,6,5,"ADD:1,1;ADD:4,5;ADD:5,6;ADD:6,7;ADD:7,7;ADD:8,2;REMOVE:1,5;REMOVE:4,7;REMOVE:5,7;REMOVE:7,9;REMOVE:8,1",0:-;1:5;2:-;3:-;4:7;5:7;6:-;7:9;8:1;9:-,0:-;1:1;2:-;3:-;4:5;5:6;6:7;7:7;8:2;9:-,1@1=1;4@0=1;4@5=1;5@6=1;6@1=1;6@0=1;7@1=1;7@0=2;7@9=1;8@0=1;8@5=1;8@4=1;8@7=1,"1,0,5,6,9,4,7",14,13,13,0,1.0,0.41935634615411377,1.0,0.019356346154113715,0.0,0.0,0.6,0.3423001766204834,Feasible|selected=greedy
408,407,12,7,5,"ADD:1,2;ADD:1,7;ADD:4,7;ADD:5,8;ADD:6,2;ADD:7,3;ADD:8,8;REMOVE:1,1;REMOVE:4,5;REMOVE:5,6;REMOVE:6,7;REMOVE:7,7",0:-;1:1;2:-;3:-;4:5;5:6;6:7;7:7;8:2;9:-,0:-;1:2|7;2:-;3:-;4:7;5:8;6:2;7:3;8:2|8;9:-,1@0=2;1@1=1;1@2=2;1@4=1;1@5=1;1@6=1;1@7=2;1@9=1;4@0=1;4@1=2;4@3=1;4@8=1;5@1=3;5@2=1;5@6=1;5@8=1;6@2=1;7@1=1;7@3=1;8@1=1;8@2=1;8@5=1;8@9=1;8@8=1,"0,1,2,4,5,6,7,9,3,8",30,24,24,0,1.0,0.16350825418101567,0.8333333333333334,0.03017492084768224,0.0,0.0,0.7,0.40184903144836426,Feasible|selected=greedy
409,408,12,7,5,"ADD:0,8;ADD:0,9;ADD:3,4;ADD:4,2;ADD:5,4;ADD:6,7;ADD:7,2;REMOVE:1,2;REMOVE:4,7;REMOVE:5,8;REMOVE:6,2;REMOVE:7,3",0:-;1:2|7;2:-;3:-;4:7;5:8;6:2;7:3;8:2|8;9:-,0:8|9;1:7;2:-;3:4;4:2;5:4;6:7;7:2;8:2|8;9:-,0@1=1;0@4=1;0@5=1;0@9=1;1@4=2;1@9=1;1@2=2;1@6=1;1@7=1;1@8=1;3@4=1;3@2=1;4@4=1;4@5=1;4@9=1;4@2=2;4@0=1;5@4=1;6@9=2;6@0=3;7@5=1;7@9=1;7@2=2;7@7=1;7@8=1;7@3=2;8@4=2;8@5=1;8@2=4;8@6=1;8@8=1;8@0=1;8@3=1,"1,4,5,9,2,6,7,8,0,3",45,33,33,0,1.0,-0.044267804231234,0.625,0.030732195768765992,0.0,0.0,0.7,0.4887828826904297,Feasible|selected=greedy
410,409,14,7,7,"ADD:1,2;ADD:2,1;ADD:4,8;ADD:5,7;ADD:6,6;ADD:7,7;ADD:7,8;REMOVE:0,9;REMOVE:3,4;REMOVE:4,2;REMOVE:5,4;REMOVE:6,7;REMOVE:7,2;REMOVE:8,8",0:8|9;1:7;2:-;3:4;4:2;5:4;6:7;7:2;8:2|8;9:-,0:8;1:2|7;2:1;3:-;4:8;5:7;6:6;7:7|8;8:2;9:-,0@1=1;0@2=2;0@4=1;0@5=1;0@7=1;1@1=1;1@2=1;1@5=1;1@7=1;1@0=1;1@3=1;1@6=2;1@8=2;1@9=1;2@1=1;4@4=3;4@8=2;5@2=4;5@4=1;5@7=1;5@6=1;5@9=2;6@6=1;7@1=3;7@4=3;7@5=2;7@0=1;7@8=1;7@9=1;8@2=3;8@4=2;8@3=1;8@8=3;8@9=1,"1,2,4,5,7,0,3,6,8,9",54,34,34,0,1.0,0.019582934446388922,0.7,0.019582934446388953,0.0,0.0,0.7,0.4744079113006592,Feasible|selected=greedy
411,410,16,7,9,"ADD:1,5;ADD:1,8;ADD:3,7;ADD:4,7;ADD:5,2;ADD:7,2;ADD:8,9;REMOVE:0,8;REMOVE:1,2;REMOVE:1,7;REMOVE:2,1;REMOVE:4,8;REMOVE:5,7;REMOVE:6,6;REMOVE:7,7;REMOVE:8,2",0:8;1:2|7;2:1;3:-;4:8;5:7;6:6;7:7|8;8:2;9:-,0:-;1:5|8;2:-;3:7;4:7;5:2;6:-;7:2|8;8:9;9:-,1@0=2;1@4=1;1@5=3;1@8=1;3@7=1;4@7=1;4@1=2;4@3=1;5@0=1;5@4=3;5@5=1;5@2=1;7@4=2;7@5=1;7@8=1;7@1=2;7@3=2;7@2=1;7@9=1;8@7=2;8@1=1;8@2=1;8@9=1,"0,4,5,8,7,1,3,2,9",33,23,23,0,1.0,0.23139819502199033,0.9,0.03139819502199029,0.0,0.0,0.7,0.3984670639038086,Feasible|selected=greedy
